,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.8552852947047249,0.8547528855679796,0.8552852947047249,0.8546588398606798,0.9625979645691631
SVM,0.7587612991530982,0.7238635998323804,0.7587612991530982,0.7238556865982484,0.9594798335568362
Neural Network,0.841056203484559,0.8424677333709338,0.841056203484559,0.8136405696605892,0.980077441337313
